epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.0633,1.51079,4.70712,0.00686,0.52412,0.33454,0.27921,0.16978,1.39054,1.63437,0.00748,0.000276319,0.000276319,0.000276319
2,162.85,1.44344,2.64551,0.00652,0.51236,0.48544,0.40245,0.25163,1.38923,1.46386,0.00746,0.000543017,0.000543017,0.000543017
3,229.88,1.4447,1.75642,0.00639,0.58179,0.47696,0.50872,0.32346,1.38041,1.2652,0.00753,0.000798719,0.000798719,0.000798719
4,296.692,1.46148,1.46862,0.00634,0.51444,0.61766,0.56662,0.3497,1.38257,1.16339,0.00744,0.00078352,0.00078352,0.00078352
5,363.487,1.42476,1.30881,0.00627,0.582,0.57994,0.61538,0.39668,1.37156,1.03357,0.00724,0.000767026,0.000767026,0.000767026
6,430.624,1.42678,1.22683,0.00627,0.58371,0.58872,0.61638,0.39461,1.3586,1.06706,0.00749,0.000750533,0.000750533,0.000750533
7,497.903,1.42582,1.16369,0.00623,0.57398,0.65624,0.63109,0.40076,1.36578,1.01332,0.00744,0.00073404,0.00073404,0.00073404
8,563.917,1.40898,1.13522,0.00616,0.59648,0.63312,0.64737,0.41699,1.35496,0.98005,0.00727,0.000717546,0.000717546,0.000717546
9,630.349,1.41958,1.09132,0.00617,0.6272,0.67549,0.6825,0.44193,1.35073,0.93854,0.00719,0.000701053,0.000701053,0.000701053
10,696.939,1.41227,1.07311,0.00618,0.63265,0.67357,0.6882,0.43707,1.37949,0.9323,0.00713,0.000684559,0.000684559,0.000684559
11,763.429,1.38005,1.02868,0.00597,0.65893,0.68138,0.70204,0.4595,1.32351,0.89261,0.00695,0.000668066,0.000668066,0.000668066
12,830.008,1.38749,1.02816,0.00602,0.64112,0.71639,0.72002,0.47245,1.33038,0.88278,0.00715,0.000651573,0.000651573,0.000651573
13,896.985,1.36865,0.99292,0.00593,0.67289,0.69077,0.72071,0.47408,1.31743,0.89612,0.00691,0.000635079,0.000635079,0.000635079
14,963.223,1.34914,0.94533,0.00592,0.70032,0.69573,0.73373,0.4907,1.32448,0.85158,0.0069,0.000618586,0.000618586,0.000618586
15,1029.39,1.34843,0.96255,0.0059,0.67041,0.69841,0.73885,0.49327,1.2943,0.85469,0.00686,0.000602092,0.000602092,0.000602092
16,1096.29,1.33277,0.92596,0.00585,0.63578,0.7502,0.74017,0.50393,1.28926,0.84066,0.00673,0.000585599,0.000585599,0.000585599
17,1162.18,1.33433,0.90651,0.00561,0.70487,0.68014,0.73863,0.49453,1.29853,0.84276,0.00676,0.000569106,0.000569106,0.000569106
18,1228.27,1.34907,0.91476,0.00575,0.6932,0.69008,0.75036,0.50538,1.28024,0.84107,0.00666,0.000552612,0.000552612,0.000552612
19,1294.94,1.3194,0.91729,0.0057,0.68911,0.72538,0.76638,0.51885,1.28007,0.80134,0.00664,0.000536119,0.000536119,0.000536119
20,1360.61,1.31386,0.89207,0.0056,0.68788,0.72097,0.7702,0.52534,1.25066,0.79414,0.00647,0.000519625,0.000519625,0.000519625
